;mean;sd;0.025quant;0.975quant;;Parameter;Mean;SD;C.I (95%)
Intercept_L1;0,287;0,013;0,264;0,313;;$\sigma_b_{01}$;0,287;0,013;"[0,287 ; 0,313]"
time_L1;0,111;0,007;0,098;0,125;;$\sigma_b_{11}$;0,111;0,007;"[0,111 ; 0,125]"
Intercept_L2;0,26;0,012;0,237;0,285;;$\sigma_b_{02}$;0,26;0,012;"[0,259 ; 0,285]"
time_L2;0,112;0,007;0,1;0,125;;$\sigma_b_{12}$;0,112;0,007;"[0,112 ; 0,125]"
Intercept_L1:time_L1;-0,067;0,087;-0,236;0,106;;$\rho_{b_{01}, b_{11}}$;-0,067;0,087;"[-0,067 ; 0,106]"
Intercept_L1:Intercept_L2;0,805;0,025;0,751;0,849;;$\rho_{b_{01}, b_{02}}$;0,805;0,025;"[0,806 ; 0,849]"
Intercept_L1:time_L2;0,043;0,081;-0,112;0,198;;$\rho_{b_{01}, b_{12}}$;0,043;0,081;"[0,044 ; 0,198]"
time_L1:Intercept_L2;0,026;0,09;-0,15;0,202;;$\rho_{b_{11}, b_{02}}$;0,026;0,09;"[0,025 ; 0,202]"
time_L1:time_L2;0,18;0,067;0,044;0,305;;$\rho_{b_{11}, b_{12}}$;0,18;0,067;"[0,183 ; 0,305]"
Intercept_L2:time_L2;-0,059;0,082;-0,217;0,1;;$\rho_{b_{02}, b_{12}}$;-0,059;0,082;"[-0,06 ; 0,1]"
