;mean;sd;0.025quant;0.975quant;;Parameter;Mean;SD;C.I (95%)
alpha;-0,659;0,074;-0,807;-0,516;;$\alpha$;-0,659;0,074;"[-0,807 ; -0,516]"
gamma0;-0,68;0,092;-0,86;-0,5;;$\gamma_{0}$;-0,680;0,092;"[-0,86 ; -0,5]"
gamma3;-0,37;0,139;-0,643;-0,096;;$\gamma_{01}$;-0,370;0,139;"[-0,643 ; -0,096]"
gamma01;0,919;0,571;-0,209;2,039;;$\gamma_{11}$;0,919;0,571;"[-0,209 ; 2,039]"
gamma11;0,916;0,898;-0,822;2,714;;$\gamma_{02}$;0,916;0,898;"[-0,822 ; 2,714]"
gamma02;0,68;0,632;-0,558;1,931;;$\gamma_{12}$;0,680;0,632;"[-0,558 ; 1,931]"
gamma12;0,178;0,893;-1,602;1,914;;$\psi_{1}$;0,178;0,893;"[-1,602 ; 1,914]"
beta01;2,68;0,021;2,64;2,72;;$\beta_{01}$;2,680;0,021;"[2,64 ; 2,72]"
beta11;-0,022;0,01;-0,041;-0,002;;$\beta_{11}$;-0,022;0,010;"[-0,041 ; -0,002]"
beta21;0,034;0,028;-0,021;0,089;;$\beta_{21}$;0,034;0,028;"[-0,021 ; 0,089]"
beta02;2,56;0,02;2,522;2,599;;$\beta_{02}$;2,560;0,020;"[2,522 ; 2,599]"
beta12;-0,027;0,011;-0,048;-0,006;;$\beta_{12}$;-0,027;0,011;"[-0,048 ; -0,006]"
beta22;-0,012;0,027;-0,064;0,041;;$\beta_{22}$;-0,012;0,027;"[-0,064 ; 0,041]"
;;;;;;$\sigma_b_{01}$;0,287;0,013;"[0,287 ; 0,313]"
;;;;;;$\sigma_b_{11}$;0,111;0,007;"[0,111 ; 0,125]"
;;;;;;$\sigma_b_{02}$;0,260;0,012;"[0,259 ; 0,285]"
;;;;;;$\sigma_b_{12}$;0,112;0,007;"[0,112 ; 0,125]"
;;;;;;$\rho_{b_{01}, b_{11}}$;-0,067;0,087;"[-0,067 ; 0,106]"
;;;;;;$\rho_{b_{01}, b_{02}}$;0,805;0,025;"[0,806 ; 0,849]"
;;;;;;$\rho_{b_{01}, b_{12}}$;0,043;0,081;"[0,044 ; 0,198]"
;;;;;;$\rho_{b_{11}, b_{02}}$;0,026;0,090;"[0,025 ; 0,202]"
;;;;;;$\rho_{b_{11}, b_{12}}$;0,180;0,067;"[0,183 ; 0,305]"
;;;;;;$\rho_{b_{02}, b_{12}}$;-0,059;0,082;"[-0,06 ; 0,1]"
