"";"x"
"1";0,65
"2";0,65
"3";0,63
"4";0,67
"5";0,66
"6";0,6
"7";0,64
"8";0,64
"9";0,75
"10";0,69
"11";0,66
"12";0,7
"13";0,69
"14";0,71
"15";0,56
"16";0,63
"17";0,6
"18";0,65
"19";0,71
"20";0,57
"21";0,72
"22";0,58
"23";0,67
"24";0,72
"25";0,68
"26";0,7
"27";0,78
"28";0,69
"29";0,63
"30";0,56
"31";0,7
"32";0,74
"33";0,74
"34";0,6
"35";0,62
"36";0,71
"37";0,56
"38";0,61
"39";0,75
"40";0,72
"41";0,61
"42";0,67
"43";0,56
"44";0,65
"45";0,6
"46";0,59
"47";0,72
"48";0,67
"49";0,63
"50";0,66
"51";0,73
"52";0,68
"53";0,64
"54";0,54
"55";0,55
"56";0,69
"57";0,7
"58";0,57
"59";0,66
"60";0,62
"61";0,64
"62";0,67
"63";0,72
"64";0,64
"65";0,58
"66";0,61
"67";0,67
"68";0,64
"69";0,66
"70";0,67
"71";0,66
"72";0,71
"73";0,7
"74";0,7
"75";0,63
"76";0,7
"77";0,78
"78";0,61
"79";0,57
"80";0,67
"81";0,67
"82";0,68
"83";0,68
"84";0,64
"85";0,62
"86";0,73
"87";0,69
"88";0,75
"89";0,68
"90";0,71
"91";0,68
"92";0,68
"93";0,61
"94";0,74
"95";0,65
"96";0,69
"97";0,65
"98";0,57
"99";0,69
"100";0,7
"101";0,56
"102";0,63
"103";0,65
"104";0,62
"105";0,63
"106";0,7
"107";0,73
"108";0,68
"109";0,64
"110";0,68
"111";0,65
"112";0,75
"113";0,59
"114";0,65
"115";0,66
"116";0,62
"117";0,64
"118";0,62
"119";0,75
"120";0,66
"121";0,63
"122";0,68
"123";0,56
"124";0,69
"125";0,7
"126";0,61
"127";0,66
"128";0,68
"129";0,63
"130";0,65
"131";0,65
"132";0,7
"133";0,61
"134";0,65
"135";0,7
"136";0,68
"137";0,66
"138";0,76
"139";0,73
"140";0,7
"141";0,74
"142";0,7
"143";0,7
"144";0,53
"145";0,6
"146";0,61
"147";0,6
"148";0,65
"149";0,65
"150";0,65
"151";0,65
"152";0,68
"153";0,64
"154";0,7
"155";0,65
"156";0,58
"157";0,6
"158";0,64
"159";0,71
"160";0,65
"161";0,67
"162";0,69
"163";0,71
"164";0,75
"165";0,6
"166";0,68
"167";0,67
"168";0,63
"169";0,58
"170";0,66
"171";0,75
"172";0,73
"173";0,7
"174";0,66
"175";0,66
"176";0,65
"177";0,66
"178";0,74
"179";0,52
"180";0,58
"181";0,66
"182";0,57
"183";0,68
"184";0,66
"185";0,69
"186";0,69
"187";0,62
"188";0,6
"189";0,68
"190";0,68
"191";0,59
"192";0,65
"193";0,7
"194";0,66
"195";0,65
"196";0,65
"197";0,64
"198";0,75
"199";0,68
"200";0,66
"201";0,68
"202";0,69
"203";0,73
"204";0,65
"205";0,77
"206";0,71
"207";0,6
"208";0,66
"209";0,63
"210";0,58
"211";0,63
"212";0,74
"213";0,58
"214";0,62
"215";0,71
"216";0,74
"217";0,63
"218";0,76
"219";0,72
"220";0,68
"221";0,59
"222";0,61
"223";0,61
