n =100;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-0,692;-0,750;0,384;0,130;-0,340;2,497;-0,202;-0,011;0,101;0,271;0,297;-0,118
SD;0,212;0,355;0,653;0,727;0,409;0,091;0,052;0,108;0,080;0,028;0,043;0,162
Bias;-0,032;-0,070;-0,296;-0,040;0,030;-0,003;-0,002;-0,001;0,001;0,021;0,047;-0,068
C.P (95%);0,939;0,920;0,973;0,989;0,943;0,950;0,961;0,961;0,949;0,927;0,921;0,973
n =500;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-0,660;-0,699;0,596;0,191;-0,365;2,498;-0,201;-0,010;0,101;0,256;0,266;-0,084
SD;0,072;0,150;0,352;0,454;0,173;0,039;0,022;0,047;0,034;0,014;0,024;0,098
Bias;0,000;-0,019;-0,084;0,021;0,005;-0,002;-0,001;0,000;0,001;0,006;0,016;-0,034
C.P (95%);0,954;0,928;0,961;0,963;0,956;0,943;0,944;0,944;0,943;0,93;0,957;0,943
n =1000;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-0,662;-0,683;0,648;0,172;-0,370;2,500;-0,200;-0,010;0,100;0,253;0,259;-0,070
SD;0,048;0,105;0,255;0,345;0,121;0,028;0,016;0,033;0,024;0,010;0,018;0,075
Bias;-0,002;-0,003;-0,032;0,002;0,000;0,000;0,000;0,000;0,000;0,003;0,009;-0,020
C.P (95%);0,949;0,921;0,954;0,962;0,939;0,950;0,945;0,956;0,953;0,949;0,943;0,945
