n =100;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-1,006;0,779;1,068;0,751;0,517;0,996;-0,997;-0,103;0,507;0,491;0,402;0,340
SD;0,418;0,319;0,417;0,632;0,352;0,178;0,098;0,194;0,162;0,058;0,080;0,208
Bias;-0,006;-0,021;0,068;-0,249;0,017;-0,004;0,003;-0,003;0,007;-0,009;0,002;-0,060
C.P (95%);0,951;0,927;0,982;0,969;0,951;0,945;0,934;0,942;0,951;0,962;0,996;0,985
n = 500;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-1,011;0,794;1,036;0,894;0,505;0,998;-1,001;-0,095;0,500;0,496;0,396;0,398
SD;0,148;0,140;0,210;0,359;0,155;0,080;0,044;0,087;0,074;0,027;0,049;0,125
Bias;-0,011;-0,006;0,036;-0,106;0,005;-0,002;-0,001;0,005;0,000;-0,004;-0,004;-0,002
C.P (95%);0,963;0,935;0,965;0,948;0,951;0,948;0,926;0,937;0,956;0,949;0,982;0,972
n = 1000;;;;;;;;;;;;
Parameter;$\alpha$;$\gamma_{0}$;$\gamma_{1}$;$\gamma_{3}$;$\psi_{1}$;$\beta_{0}$;$\beta_{1}$;$\beta_{2}$;$\beta_{3}$;$\sigma_{b_{0}}$;$\sigma_{b_{1}}$;$\rho_{(b_{0}, b_{1})}$
Mean;-1,012;0,797;1,024;0,931;0,506;0,998;-1,000;-0,101;0,501;0,496;0,395;0,407
SD;0,099;0,098;0,152;0,269;0,109;0,057;0,031;0,062;0,052;0,019;0,038;0,098
Bias;-0,012;-0,003;0,024;-0,069;0,006;-0,002;0,000;-0,001;0,001;-0,004;-0,005;0,007
C.P (95%);0,948;0,927;0,964;0,965;0,939;0,958;0,912;0,945;0,956;0,955;0,973;0,972
